Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Paigham,1988.0,168.0,6.6,15.0,Fantasy,hindi
The Rubiks game,2014.0,30.0,7.45,15.5,"Short, Thriller",malayalam
Anthervedam,2018.0,120.0,6.0,32.0,Thriller,telugu
Enakkul Oru Kadhal,2009.0,97.0,6.9,24.0,Drama,tamil
Samsara Nauka,1989.0,137.5,6.4,10.0,Unknown,kannada
Patthe Bapurao,1950.0,143.0,6.4,10.0,Unknown,marathi
Vida Parayaanmathram,1988.0,137.5,6.4,10.0,Unknown,malayalam
White,2016.0,149.0,3.0,471.0,Romance,malayalam
Sayahnam,2000.0,137.5,7.0,10.0,Unknown,malayalam
Preetam,2021.0,133.0,9.0,15.0,Romance,marathi
Britto,2014.0,124.0,7.5,12.0,Drama,bengali
Amrutha Geetham,1982.0,137.5,6.4,10.0,Unknown,malayalam
Pyar Ka Jigar,2003.0,133.0,6.2,31.0,Romance,hindi
Stalin Sivadas,1999.0,118.0,2.7,47.0,"Action, Thriller",malayalam
Dheeran,1987.0,137.5,6.4,10.0,Unknown,malayalam
Gopichand Jasoos,1982.0,150.0,5.9,123.0,"Comedy, Thriller",hindi
Vikrant Rona,2021.0,136.0,5.3,28.0,"Action, Adventure, Fantasy",kannada
Joy: The Real Love Story,2007.0,127.0,2.1,1601.0,"Drama, Romance, Thriller",hindi
Dharavi,1992.0,120.0,7.1,282.0,"Crime, Drama",hindi
Kamadhenu,1976.0,137.5,6.4,10.0,Unknown,malayalam
Sansarer Itikatha,1983.0,126.0,6.9,24.0,Drama,bengali
Shani Arshad: Adha Adha,2019.0,5.0,8.0,17.0,"Short, Music",urdu
Noces,2016.0,98.0,7.1,1360.0,Drama,oriya
Tu Heer Main Tera Hero,2021.0,130.0,6.1,42.0,Comedy,urdu
Madi Veetu Ezhai,1981.0,137.5,6.4,10.0,Unknown,tamil
Khoobsurat Kali,2003.0,120.0,6.0,32.0,Thriller,hindi
Puthayal,1997.0,144.0,5.9,51.0,Unknown,tamil
Urimai,1985.0,137.5,6.4,10.0,Unknown,tamil
Babai Abbai,1984.0,117.0,6.3,102.0,"Comedy, Romance",telugu
Yaar Meri Zindagi,2008.0,146.0,4.8,39.0,"Drama, Family, Musical",hindi
Denied: A Life Confined,2013.0,22.0,7.5,37.5,Documentary,nepali
Jhoomar,2007.0,137.5,6.9,7.0,Unknown,oriya
Hututu,2014.0,138.0,5.0,5.0,Comedy,marathi
Parchhaeen,1989.0,120.0,6.0,32.0,Thriller,hindi
Chettathi,1965.0,137.5,6.4,10.0,Unknown,kannada
Sharda,1981.0,126.0,5.5,19.0,"Drama, Family",hindi
Satyanweshi Byomkesh,2019.0,108.0,6.5,267.0,"Crime, Mystery, Thriller",bengali
Mahan,1996.0,132.0,6.0,8.0,"Drama, Family",bengali
Takht-O-Taj,1970.0,137.5,6.4,10.0,Unknown,urdu
Death Match,,147.0,5.6,612.0,"Action, Adventure, Thriller",nepali
Kanthaswamy,2009.0,190.0,5.0,1567.0,"Action, Crime",tamil
Vishwa Thulasi,2004.0,145.0,6.1,32.0,"Drama, Musical, Romance",tamil
Saakshyam,2018.0,166.0,4.7,437.0,Action,telugu
Circus Queen,1959.0,137.0,5.5,21.0,Action,hindi
"Haseena: Smart, Sexy, Dangerous",2006.0,120.0,6.0,32.0,Thriller,hindi
Seemana,1996.0,144.0,8.9,8.0,"Action, Drama",nepali
Weather Report,2017.0,91.0,6.9,24.0,Drama,marathi
Shutter,2012.0,133.0,7.7,1017.0,Thriller,malayalam
Maithaanam,2011.0,125.0,5.9,7.0,"Drama, Family, Mystery",tamil
Sons of Ram,2012.0,85.0,6.6,76.0,"Animation, Drama, Musical",tamil
Duti Mon,2011.0,126.0,6.9,24.0,Drama,bengali
Swapna Lokam,1999.0,133.0,6.2,31.0,Romance,telugu
Pattalam,2003.0,159.0,5.1,316.0,"Action, Comedy, Drama",malayalam
The Twelve Thousand,2020.0,28.0,7.8,10.0,"Short, Drama",nepali
Indulekha (Malayalam),2020.0,22.0,6.9,24.0,Drama,malayalam
Sukham Sukhakaram,1994.0,137.5,6.4,10.0,Unknown,malayalam
Santa,1961.0,126.0,6.9,24.0,Drama,telugu
Mullamottum Munthiricharum,2012.0,126.0,4.3,14.0,Drama,malayalam
Fired,2010.0,87.0,4.4,260.0,Horror,hindi
Dillagi,1999.0,188.0,5.3,1068.0,"Drama, Musical, Romance",hindi
Nesi,2009.0,126.0,6.9,24.0,Drama,tamil
Kaana Kanmani,2009.0,132.0,4.4,106.0,"Drama, Horror",malayalam
Bhagwaan Dada,1986.0,147.0,4.3,167.0,"Drama, Thriller",hindi
A 2nd Hand Lover,2015.0,135.0,6.2,31.0,Romance,kannada
Sampoorna Sant Darshanam,1978.0,126.0,6.9,24.0,Drama,hindi
Avar Enakke Sontham,1977.0,66.0,6.4,10.0,Unknown,tamil
Dharti ke God Mein,1971.0,126.0,6.9,24.0,Drama,hindi
Valar Pirai,1962.0,137.5,6.4,10.0,Unknown,tamil
Shaitaan: A Vision of Madness,2018.0,65.0,6.0,32.0,Thriller,hindi
Haaru Hakkiyaneri,2010.0,126.0,6.9,24.0,Drama,kannada
Payal Ki Jhankar,1968.0,132.0,4.4,12.0,"Action, Adventure, Comedy",hindi
Juniors,2003.0,133.0,5.2,13.0,Romance,telugu
Palkon Ki Chhaon Mein,1977.0,127.0,7.5,65.0,"Drama, Romance",hindi
Dil Ka Sathi Dil,1982.0,133.0,6.7,18.0,Romance,hindi
Mounamelanoyi,2002.0,154.0,6.7,16.0,Romance,telugu
Punar Milan,1940.0,136.0,6.7,61.5,"Drama, Romance",hindi
Maa Shakti,2002.0,126.0,8.4,15.0,History,malayalam
Let's Break Up,2020.0,137.5,6.4,10.0,Unknown,kannada
HIRER SHIKAL,1988.0,126.0,6.7,61.5,"Drama, Romance",bengali
Mohanlal,2018.0,150.0,4.5,507.0,Comedy,malayalam
Dharti Ke Lal,1950.0,125.0,6.4,16.0,"Drama, History",hindi
Angadipattu,2018.0,23.0,6.1,42.0,Comedy,malayalam
Golmaal Returns,2008.0,135.0,5.1,7115.0,"Comedy, Crime, Mystery",hindi
The Journey Within,2015.0,78.0,7.0,35.0,"Documentary, Music",oriya
Janma Bhoomi,1995.0,126.0,8.0,6.0,Drama,nepali
Inspector Gullu,2018.0,124.0,6.8,32.0,Action,hindi
Deiva Thirumagal,2011.0,166.0,8.1,4954.0,Drama,tamil
Aaj Ka Inteqaam,1991.0,120.0,6.0,32.0,Thriller,hindi
Tuch Khari Gharchi Laxmi,2011.0,115.0,6.9,24.0,Drama,marathi
Pataas,2015.0,127.0,6.7,758.0,"Action, Comedy",telugu
Ram,2022.0,140.0,6.3,524.0,"Action, Crime, Thriller",malayalam
Monagadu,1976.0,151.0,6.6,61.0,"Crime, Drama",telugu
Kala Dhanda Goray Log,1986.0,158.0,5.7,35.0,"Drama, Family",hindi
Vishwaguru,2017.0,127.5,7.6,19.0,Biography,malayalam
Thappad,2020.0,142.0,6.8,14626.0,Drama,hindi
Talentime,2009.0,120.0,6.8,183.0,Drama,tamil
Maan Bhi Jao Sanam,2018.0,49.0,6.1,42.0,Comedy,urdu
Shah,2015.0,109.0,8.5,1392.0,"Biography, Drama, Sport",urdu
Harsha Varsha Jayaraj,2020.0,14.0,8.0,6.0,"Short, Comedy",malayalam
Yeh Kaise Hua,1984.0,137.5,6.4,10.0,Unknown,urdu
Adavukal Pathinettu,1978.0,137.5,6.4,10.0,Unknown,malayalam
Bhale Papa,1971.0,137.5,6.4,10.0,Unknown,telugu
Raakhi Ki Saugandh,1979.0,141.5,6.0,106.0,"Action, Crime, Drama",hindi
Khara Varasdar,1986.0,126.0,6.9,24.0,Drama,marathi
Lakhon Fasane,1961.0,126.0,6.9,24.0,Drama,urdu
Qissa: The Tale of a Lonely Ghost,2013.0,109.0,6.7,896.0,"Drama, Fantasy, Horror",punjabi
Amma I Love You,2018.0,147.0,7.4,55.0,Drama,kannada
Kahi Katai,2018.0,124.0,6.5,18.0,Family,nepali
Adhiktam,2020.0,45.0,5.4,416.0,"Action, Comedy",hindi
Oru Vasantha Geetham,1994.0,137.5,4.7,9.0,Unknown,tamil
Ishq Ishq,1977.0,130.0,3.4,23.0,Musical,urdu
Aata Hoti Geli Kuthe,1991.0,130.0,6.1,42.0,Comedy,marathi
123,2002.0,127.0,5.7,59.0,Comedy,telugu
Saajan Ki Saheli,1981.0,142.0,5.5,44.0,"Family, Drama",hindi
Chanakya,2019.0,147.0,5.4,492.0,"Action, Adventure, Thriller",malayalam
Khaan Dost,1976.0,157.0,5.6,38.0,"Action, Crime, Drama",hindi
Kalsandhya,1997.0,124.0,7.8,11.0,Drama,assamese
Ippadikku En Kadhal,2007.0,115.0,6.9,24.0,Drama,tamil
Chottanikkara Amma,1976.0,132.0,6.6,8.0,Drama,malayalam
Sutradhaarulu,1990.0,148.0,8.1,55.0,"Drama, Musical",telugu
Butter & Cheese,2014.0,13.0,8.1,6.5,"Short, Family",nepali
That Girl in Yellow Boots,2010.0,103.0,6.6,3574.0,"Crime, Drama, Mystery",kannada
Aanamuttathe Aangalamar,2000.0,108.0,6.3,94.0,"Comedy, Drama",malayalam
Jhankar,1942.0,137.5,6.4,10.0,Unknown,hindi
Ira Thedunna Manushyar,1981.0,137.5,6.4,10.0,Unknown,malayalam
Aideu,2007.0,91.0,6.4,10.0,Unknown,assamese
American Desi,2001.0,100.0,6.6,1583.0,"Comedy, Drama, Romance",hindi
Chettayees,2012.0,124.0,4.7,134.0,Family,malayalam
Ambalakkara Panchayath,1988.0,137.5,6.4,10.0,Unknown,malayalam
Supportive Men,2014.0,21.0,8.9,38.0,"Documentary, Short, Family",nepali
 Alif Laila,1997.0,144.0,6.5,12.5,"Adventure, Fantasy",urdu
Poila April,2021.0,126.0,6.9,24.0,Drama,bengali
Bachelor Husband,1950.0,137.5,6.4,10.0,Unknown,hindi
Oru Nadigai Natakam Pakiral,1978.0,131.0,6.2,12.0,Unknown,tamil
Dunia Gol Hai,1974.0,137.5,6.4,10.0,Unknown,urdu
Chalta Purza,1958.0,135.5,6.6,15.0,Fantasy,hindi
Hichki,2018.0,116.0,7.5,10905.0,"Comedy, Drama",hindi
Lover Boy,1985.0,136.0,4.1,19.0,"Drama, Romance",hindi
Babul,1986.0,162.0,4.8,9.0,Drama,hindi
Babu,2020.0,26.0,7.8,10.0,"Short, Drama",nepali
Swabhimaan,2019.0,122.0,6.9,24.0,Drama,gujarati
Meera,1947.0,120.0,7.7,14.0,Unknown,hindi
Red Indians,2001.0,137.5,4.7,15.0,Unknown,malayalam
Navabharata,1988.0,137.5,6.4,10.0,Unknown,kannada
Tribhanga,2021.0,95.0,6.1,2406.0,"Drama, Family",hindi
Sri Bannari Amman,2002.0,149.0,6.9,24.0,Drama,tamil
Dear Love,2020.0,137.5,6.4,10.0,Unknown,nepali
Apoorva Mahaan,2015.0,135.0,6.9,24.0,Drama,tamil
Haidar Sultan,1982.0,144.0,6.0,77.0,"Action, Drama",punjabi
3 Monkeys,2020.0,131.0,6.5,82.0,Drama,telugu
Carbon,2018.0,146.0,6.9,1115.0,"Adventure, Thriller",malayalam
Kaapalika,1973.0,131.0,7.8,5.0,Unknown,malayalam
Karunamayi,1987.0,137.0,6.4,10.0,Unknown,kannada
Phone Bhoot,2021.0,131.0,5.5,274.0,"Comedy, Horror",hindi
Aag aur Angaray,1990.0,137.0,5.5,21.0,Action,hindi
Athmasakhi,2016.0,137.5,6.4,10.0,Unknown,malayalam
Vachikava,2014.0,126.0,6.9,24.0,Drama,tamil
Krishna Arjun,2004.0,137.0,5.5,21.0,Action,hindi
Rahi,1953.0,139.0,6.9,27.0,Drama,hindi
Chaukat Raja,1991.0,141.0,7.4,214.0,Family,marathi
School Master,2010.0,143.0,6.9,24.0,Drama,kannada
Halla Gulla,2015.0,145.0,5.2,77.0,"Action, Comedy",urdu
Monopoly the Game of Money,2012.0,120.0,6.0,32.0,Thriller,hindi
Maga Maharaju,1983.0,138.0,6.8,30.0,"Comedy, Drama, Romance",telugu
Band Baaja Babuchak,2017.0,123.0,6.1,42.0,Comedy,gujarati
Bebbuli Veta,1985.0,137.5,6.4,10.0,Unknown,telugu
Gita,2008.0,126.0,6.9,24.0,Drama,telugu
Kusruthi Kuruppu,1998.0,135.0,5.8,40.0,"Comedy, Drama",malayalam
Mr. and Mrs. Iyer,2002.0,120.0,7.9,4681.0,Drama,tamil
 Siyaasat,2014.0,126.0,7.15,12.0,History,urdu
Inth Ka Jawab Patthar,2002.0,,3.2,9.0,"Musical, Action",hindi
Nisithe,1963.0,126.0,7.2,10.0,Drama,bengali
Cabbie,2019.0,19.0,8.5,16.0,"Short, Horror",nepali
Advaitham,1991.0,181.0,7.0,275.0,"Action, Crime, Drama",malayalam
Maruppacha,1982.0,137.5,6.4,10.0,Unknown,malayalam
Kachehari,1994.0,137.0,6.4,14.0,Action,punjabi
Kismet Road,2004.0,30.0,6.9,24.0,Drama,urdu
Fever,2009.0,14.0,8.5,8.0,"Short, Fantasy",nepali
Kaashi Amarnath,2017.0,162.0,4.7,11.0,"Action, Drama, Romance",bhojpuri
Afsana Dilwalon Ka,2001.0,195.0,3.6,1024.0,"Drama, Romance",urdu
Namukkore Aakasham,2015.0,115.0,6.9,24.0,Drama,malayalam
Argentina Fans Kaattoorkadavu,2019.0,140.0,4.7,319.0,"Drama, Sport",malayalam
Mr. X,2015.0,133.0,3.8,1816.0,"Action, Drama, Sci-Fi",hindi
Nakhuda,1968.0,137.5,6.4,10.0,Unknown,urdu
Pakhandi,1984.0,138.0,6.5,26.0,Drama,hindi
Ini Ethra Sandhyakal,1979.0,137.5,6.4,10.0,Unknown,malayalam
Bachchan,2013.0,145.0,6.6,926.0,"Action, Crime, Thriller",kannada
Desi Kattey,2014.0,139.0,4.0,125.0,Action,hindi
Vaddante Dabbu,1954.0,139.0,6.6,10.0,"Comedy, Drama",telugu
Nooran,1957.0,133.0,6.2,31.0,Romance,punjabi
Murderer,1935.0,137.5,6.4,10.0,Unknown,hindi
Tharangam,2017.0,153.0,6.3,478.0,"Action, Comedy",malayalam
Zunjar,2003.0,137.5,6.4,10.0,Unknown,marathi
Pyase Nain,1989.0,126.0,6.9,24.0,Drama,hindi
Anokha Chamatkar,1988.0,126.0,6.9,24.0,Drama,hindi
Vasudhaika 1957,2016.0,112.0,5.0,22.0,Horror,telugu
Insaan Aur Shaitan,1970.0,137.0,5.1,14.0,Action,hindi
Sapthagiri LLB,2017.0,138.0,7.2,56.0,"Comedy, Drama",telugu
Prem Vidrohi,2012.0,137.0,5.5,21.0,Action,bhojpuri
Manamantha,2016.0,164.0,7.7,840.0,Drama,telugu
August 2,2012.0,120.0,4.2,9.0,Thriller,hindi
Ponge Ezhu Manohara,2015.0,131.0,6.3,94.0,"Comedy, Drama",tamil
1:13:7 Ek Tera Saath,2016.0,120.0,5.7,57.0,Horror,hindi
Diyar Bhojai,1980.0,133.0,6.2,31.0,Romance,gujarati
Sair-E-Paristan,1958.0,135.5,6.6,15.0,Fantasy,hindi
Lalkare Sheran De,1994.0,117.0,5.5,21.0,Action,punjabi
Azad Champion,1968.0,137.0,5.5,21.0,Action,hindi
Thazampoo,1965.0,137.5,6.8,6.0,Unknown,tamil
Haseena 420,1988.0,137.5,6.2,5.0,Unknown,urdu
Record,2019.0,81.0,5.0,22.0,Horror,urdu
Raogari Illu,1988.0,131.0,6.3,94.0,"Comedy, Drama",telugu
Proud to Be a Sikh,2014.0,92.0,7.2,20.0,Drama,punjabi
Paranju Theeratha Visheshangal,2007.0,137.5,6.3,6.0,Unknown,malayalam
Banna Bannada Baduku,2017.0,126.0,6.9,24.0,Drama,kannada
Aickarakkonathe Bhishaguaranmaar,2018.0,144.0,7.8,239.0,Drama,malayalam
Laxmi,1957.0,118.0,6.6,25.0,"Drama, Family",hindi
Patukunte Padivelu,1967.0,145.0,6.9,24.0,Drama,telugu
Radha Ghelo Kan,1991.0,126.0,6.9,24.0,Drama,gujarati
"U, Bomsi N Me",2005.0,130.0,7.4,13.0,Comedy,hindi
Les Larmes Noires,2015.0,127.0,7.5,37.5,Documentary,urdu
Baeelveda,1979.0,137.5,6.4,10.0,Unknown,marathi
Balakot: the true story,2020.0,137.0,5.5,21.0,Action,hindi
Maan Marjada,1991.0,137.0,6.9,24.0,Drama,bengali
Hera Pheri,2000.0,156.0,8.2,58037.0,"Action, Comedy, Crime",hindi
Raagangal Maruvathillai,1983.0,137.5,7.2,5.0,Unknown,tamil
Putra Badhu,1998.0,126.0,6.9,24.0,Drama,bengali
Naik Parveen,1975.0,137.5,6.4,10.0,Unknown,urdu
Gollu Aur Pappu,2014.0,112.0,3.7,101.0,Comedy,hindi
Shivani,2019.0,114.0,5.95,17.5,Crime,hindi
Heer Maan Ja,2019.0,146.0,5.2,187.0,"Action, Comedy, Family",punjabi
Nayakudu Vinayakudu,1980.0,137.5,6.0,6.0,Unknown,telugu
Love You to Death,2012.0,102.0,5.3,7.0,"Comedy, Thriller",hindi
Awara Badal,1964.0,134.0,5.9,14.0,"Action, Adventure, Drama",bhojpuri
Gharer Bou,1990.0,121.0,6.9,24.0,Drama,bengali
Chief Sahib,1996.0,144.0,5.0,37.0,"Action, Comedy, Romance",urdu
Revelations,2016.0,118.0,7.3,135.0,Drama,tamil
Murder,1994.0,101.0,6.6,282.5,"Crime, Drama, Mystery",kannada
Ivide Ingane,1984.0,101.0,6.0,77.0,"Action, Drama",malayalam
Porter Ponnusami,1979.0,137.5,6.4,10.0,Unknown,tamil
Amar Premi Sheni Vijanand,1974.0,126.0,6.9,24.0,Drama,gujarati
Tum Hi To Ho...,2011.0,121.0,3.9,10.0,"Drama, Mystery, Thriller",hindi
Bilhana,1948.0,137.5,6.4,10.0,Unknown,tamil
Maharathi,2008.0,114.0,7.1,967.0,"Crime, Drama, Mystery",hindi
Adyathe Maravi,2019.0,14.0,7.45,15.5,"Short, Thriller",malayalam
Hum Ek Hain,1961.0,126.0,6.9,24.0,Drama,urdu
Puzha,1980.0,137.5,6.4,10.0,Unknown,malayalam
Common Opinion,2016.0,10.0,8.4,9.0,"Documentary, Short",urdu
Paandav,1995.0,132.0,4.1,533.0,"Action, Drama",hindi
Khaidi,1987.0,137.5,6.4,10.0,Unknown,telugu
Savitri,1937.0,136.0,6.6,15.0,Fantasy,hindi
Raam,2009.0,149.0,6.6,136.0,"Comedy, Drama",kannada
Police Lock Up,1992.0,137.0,5.5,21.0,Action,hindi
The Dirty Picture,2011.0,145.0,6.6,8815.0,"Biography, Comedy, Drama",tamil
Kurbani,1943.0,137.5,6.6,5.0,Unknown,hindi
Nepal First Jagad Guru - Yogiraj Swami Documentary,2020.0,75.0,7.5,37.5,Documentary,nepali
Lawaris: Karachi's Unknown Dead,2019.0,21.0,8.4,9.0,"Documentary, Short",urdu
Rakhewal,2019.0,130.0,6.9,24.0,Drama,gujarati
Kanasu Maratakkide,2021.0,132.0,6.9,24.0,Drama,kannada
Pati Patni Aur Tawaif,1990.0,132.0,4.3,40.0,"Drama, Family",hindi
Dholo Mara Malak No,1998.0,126.0,6.9,24.0,Drama,gujarati
Pambaram,1979.0,137.5,6.4,10.0,Unknown,malayalam
The Last Color,2019.0,90.0,7.7,740.0,Drama,hindi
Aji Bas Shukriya,1958.0,153.0,6.2,10.0,"Comedy, Drama, Musical",hindi
Delhi Durbar,1956.0,137.5,6.4,10.0,Unknown,hindi
Bhartruhari,1932.0,135.5,6.6,15.0,Fantasy,hindi
Teer,1954.0,126.0,6.9,24.0,Drama,hindi
Eppothum Vendran,2014.0,138.0,6.9,24.0,Drama,tamil
Prem Paigham,1989.0,133.0,6.2,31.0,Romance,hindi
Smuggler,1996.0,135.0,4.4,17.0,"Action, Crime",hindi
Sheikh Chilli,1958.0,130.0,6.1,42.0,Comedy,punjabi
Sasi Lalitha,2020.0,126.0,6.9,24.0,Drama,telugu
Om Shri Satya Sai Baba,2021.0,127.5,7.6,19.0,Biography,hindi
Khooni Insaan,1988.0,120.0,4.0,7.0,Thriller,hindi
Ilamai Kaalangal,1983.0,120.0,5.7,9.0,Unknown,tamil
Lalu Bhulu,1959.0,126.0,7.0,6.0,Drama,bengali
Rakkhushi,2006.0,134.0,6.5,10.0,Drama,bengali
Geet Ganga,1982.0,138.0,6.9,24.0,Drama,hindi
Bachke Rahna,1949.0,145.0,5.4,416.0,"Action, Comedy",hindi
Viswasam Athalle Ellam,2015.0,159.0,4.9,30.0,"Comedy, Drama",malayalam
Stop!,2004.0,134.5,4.5,31.0,"Comedy, Romance",hindi
Post Man,1967.0,137.5,6.4,10.0,Unknown,malayalam
Sannyasi Deshonayok,2020.0,126.0,6.9,24.0,Drama,bengali
Local Utpaat,2020.0,145.0,5.4,416.0,"Action, Comedy",assamese
Niraparadhi,1951.0,182.0,6.4,10.0,Unknown,tamil
Avaghachi Sansar,1960.0,130.0,6.1,42.0,Comedy,marathi
Vicar Ka Achar Open Your Mind Before Your Mouth,2018.0,90.0,6.4,10.0,Unknown,hindi
Neerja,2016.0,122.0,7.7,21192.0,"Biography, Drama, Thriller",hindi
OK Kanmani,2015.0,139.0,7.4,5030.0,Romance,tamil
Meen Kuzhambum Mann Paanaiyum,2016.0,136.0,5.4,98.0,"Comedy, Fantasy",tamil
Nandini,1969.0,126.0,6.9,24.0,Drama,marathi
Begunah,1970.0,137.0,5.5,21.0,Action,hindi
Ishara,1943.0,137.5,6.4,10.0,Unknown,hindi
Vakratunda Mahakaaya,2013.0,92.0,6.9,75.0,Comedy,marathi
Kaise Tumse Kahoon,2015.0,137.5,6.4,10.0,Unknown,urdu
Idhey Naa Savaal,1984.0,137.5,6.2,8.0,Unknown,telugu
